source,target,weight
M0024,M0013,0.952419112747355
M0024,M0048,0.9436832581986491
M0024,M0067,0.9298520047542205
M0024,M0007,0.9269840182219442
M0024,M0033,0.9256098279671052
M0025,M0026,0.9762705435865363
M0025,M0062,0.9609897140516984
M0025,M0044,0.8294704444976901
M0025,M0037,0.7843249158917105
M0025,M0002,0.7729523995933197
M0025,M0001,0.7654723755728792
M0025,M0051,0.696794737384638
M0025,M0015,0.6738167815222552
M0026,M0062,0.9980140283379826
M0026,M0025,0.9762705435865363
M0026,M0037,0.8914675112090321
M0026,M0044,0.878892677976109
M0026,M0001,0.8400826474824924
M0026,M0002,0.8056180097934175
M0026,M0051,0.7998417204388171
M0026,M0028,0.762442771807364
M0027,M0015,0.9923562724657927
M0027,M0065,0.9798079281896656
M0027,M0001,0.9797851830771961
M0027,M0044,0.9609635216747001
M0027,M0028,0.9506785204268068
M0027,M0051,0.9453375067295263
M0027,M0035,0.9418686028566597
M0027,M0066,0.9404172152826318
M0028,M0051,0.9975397164940542
M0028,M0030,0.9952110299732891
M0028,M0015,0.9813246248708615
M0028,M0035,0.9750514503535335
M0028,M0001,0.9697568385766341
M0028,M0027,0.9506785204268068
M0028,M0003,0.9433309877570105
M0028,M0066,0.9329887002487425
M0029,M0042,0.9837730203754343
M0029,M0052,0.9642101343958412
M0029,M0041,0.9590979734891957
M0029,M0063,0.9564010909851425
M0029,M0048,0.9346974905880366
M0029,M0045,0.9289202416498747
M0029,M0020,0.921488098268307
M0029,M0011,0.9198217902707319
M0030,M0028,0.9952110299732891
M0030,M0051,0.9872231656161632
M0030,M0035,0.9868246704872712
M0030,M0015,0.9681304747671131
M0030,M0003,0.9620350564934492
M0030,M0066,0.9471679831143647
M0030,M0001,0.9438043939690567
M0030,M0012,0.9343056092619118
M0031,M0023,0.7260083128142164
M0031,M0014,0.6776643676153465
M0031,M0036,0.6709555388212328
M0031,M0058,0.6659114049401369
M0031,M0060,0.5302935335782234
M0031,M0012,0.4800819666568729
M0031,M0047,0.4718116083949592
M0031,M0004,0.4337881116409841
M0032,M0054,0.9958042275234562
M0032,M0057,0.9834432377921707
M0032,M0068,0.9216607278799923
M0032,M0055,0.9203542496961525
M0032,M0039,0.8643958267522384
M0032,M0021,0.8432642376815764
M0032,M0034,0.833557470749536
M0032,M0009,0.7953384127307782
M0033,M0043,0.9701734178261623
M0033,M0022,0.9647503176900907
M0033,M0038,0.9600488842651854
M0033,M0010,0.9562366575825275
M0033,M0024,0.9256098279671052
M0033,M0059,0.9252761246580066
M0033,M0008,0.891599872469449
